id,category,question,option1,option2,option3,option4,answer,explanation
q1,Android 기초,안드로이드 운영체제의 기반이 되는 커널은?,Unix,Linux,Windows,MacOS,2,Linux 커널을 기반으로 동작한다.
q2,Android 기초,안드로이드 앱의 기본 실행 단위는?,Service,Fragment,Activity,Intent,3,사용자와 상호작용하는 화면 단위는 Activity이다.
q3,Android 기초,앱 구성 정보와 권한을 정의하는 파일은?,build.gradle,AndroidManifest.xml,strings.xml,styles.xml,2,앱의 컴포넌트와 권한은 AndroidManifest.xml에 정의한다.
q4,Android 기초,UI 레이아웃을 정의하는 파일 형식은?,JSON,YAML,XML,HTML,3,안드로이드 UI는 XML 레이아웃 파일로 정의한다.
q5,Activity,Activity가 처음 생성될 때 호출되는 메서드는?,onStart(),onResume(),onCreate(),onDestroy(),3,Activity 최초 생성 시 onCreate()가 호출된다.
q6,Activity,사용자가 앱을 떠날 때 가장 먼저 호출되는 메서드는?,onPause(),onStop(),onDestroy(),onCreate(),1,다른 화면으로 전환되기 직전에 onPause()가 호출된다.
q7,Activity,Activity가 사용자와 상호작용 가능한 상태일 때 호출되는 메서드는?,onCreate(),onResume(),onStop(),onDestroy(),2,onResume 상태에서 사용자 입력을 받을 수 있다.
q8,Activity,Activity 종료 직전에 호출되는 메서드는?,onPause(),onStop(),onDestroy(),onRestart(),3,Activity가 완전히 제거되기 전 onDestroy()가 호출된다.
q9,Layout,자식 뷰를 수직 또는 수평으로 배치하는 레이아웃은?,FrameLayout,LinearLayout,GridLayout,RelativeLayout,2,LinearLayout은 방향을 지정하여 배치한다.
q10,Layout,뷰를 겹쳐서 배치하는 데 적합한 레이아웃은?,FrameLayout,LinearLayout,ConstraintLayout,TableLayout,1,FrameLayout은 여러 뷰를 겹쳐 배치할 수 있다.
q11,Layout,복잡한 UI를 효율적으로 구성하기 위해 주로 사용하는 레이아웃은?,AbsoluteLayout,ConstraintLayout,FrameLayout,TableLayout,2,ConstraintLayout은 다양한 제약조건으로 배치한다.
q12,Layout,뷰 크기를 내용에 맞게 설정하는 속성은?,match_parent,fill_parent,wrap_content,fixed_size,3,wrap_content는 콘텐츠 크기에 맞춰진다.
q13,Layout,부모 크기에 맞춰 확장하는 속성은?,match_parent,wrap_content,auto_size,fit_content,1,match_parent는 부모 영역을 채운다.
q14,이벤트 처리,버튼 클릭 이벤트 처리를 위한 인터페이스는?,OnTouchListener,OnClickListener,OnKeyListener,OnMoveListener,2,버튼 클릭은 OnClickListener로 처리한다.
q15,이벤트 처리,터치 이벤트를 처리하는 메서드는?,onMove(),onTouchEvent(),onClick(),onEvent(),2,터치 입력은 onTouchEvent()에서 처리한다.
q16,이벤트 처리,길게 누르기 이벤트를 처리하는 인터페이스는?,OnLongClickListener,OnTouchListener,OnClickListener,OnPressListener,1,길게 누르기는 OnLongClickListener를 사용한다.
