source_id,source_name,relationship_type,target_id,target_name,direction,label,description
deity_zeus_001,Zeus,PARENT,deity_athena_001,Athena,→,Father of,Zeus fathered Athena who sprang from his head
deity_zeus_001,Zeus,PARENT,deity_apollo_001,Apollo,→,Father of,Zeus fathered Apollo with Titan Leto
deity_zeus_001,Zeus,PARENT,deity_artemis_001,Artemis,→,Father of,Zeus fathered Artemis with Titan Leto
deity_zeus_001,Zeus,PARENT,deity_ares_001,Ares,→,Father of,Zeus fathered Ares with Hera
deity_zeus_001,Zeus,PARENT,deity_hephaestus_001,Hephaestus,→,Father of,Zeus fathered Hephaestus with Hera
deity_zeus_001,Zeus,PARENT,deity_hermes_001,Hermes,→,Father of,Zeus fathered Hermes with Maia
deity_zeus_001,Zeus,PARENT,deity_dionysus_001,Dionysus,→,Father of,Zeus fathered Dionysus with mortal Semele
deity_zeus_001,Zeus,PARENT,deity_hebe_001,Hebe,→,Father of,Zeus fathered Hebe with Hera
deity_zeus_001,Zeus,PARENT,human_heracles_001,Heracles,→,Father of,Zeus fathered greatest hero Heracles
deity_zeus_001,Zeus,PARENT,human_perseus_001,Perseus,→,Father of,Zeus fathered hero Perseus
deity_zeus_001,Zeus,PARENT,human_helen_001,Helen of Troy,→,Father of,Zeus fathered Helen of Troy (most beautiful woman)
deity_zeus_001,Zeus,SPOUSE,deity_hera_001,Hera,↔,Married to,Zeus married Hera Queen of Gods
deity_hera_001,Hera,CHILD,deity_ares_001,Ares,←,Mother of,Hera bore Ares god of war
deity_hera_001,Hera,CHILD,deity_hephaestus_001,Hephaestus,←,Mother of,Hera bore Hephaestus (or Hera alone)
deity_hera_001,Hera,CHILD,deity_hebe_001,Hebe,←,Mother of,Hera bore Hebe goddess of youth
deity_poseidon_001,Poseidon,PARENT,deity_triton_001,Triton,→,Father of,Poseidon fathered Triton with Amphitrite
deity_poseidon_001,Poseidon,PARENT,monster_pegasus_001,Pegasus,→,Father of,Poseidon fathered winged horse Pegasus
deity_poseidon_001,Poseidon,SIBLING,deity_zeus_001,Zeus,↔,Brother of,Poseidon brother of Zeus and Hades
deity_poseidon_001,Poseidon,SPOUSE,deity_amphitrite_001,Amphitrite,↔,Married to,Poseidon married Amphitrite Queen of the Sea
deity_demeter_001,Demeter,CHILD,deity_persephone_001,Persephone,←,Mother of,Demeter bore Persephone to Zeus
deity_demeter_001,Demeter,SIBLING,deity_zeus_001,Zeus,↔,Sister of,Demeter sister of Zeus
deity_aphrodite_001,Aphrodite,CHILD,deity_eros_001,Eros,←,Mother of,Aphrodite bore Eros god of love
deity_aphrodite_001,Aphrodite,SPOUSE,deity_hephaestus_001,Hephaestus,↔,Married to,Aphrodite married to Hephaestus but lover of Ares
deity_aphrodite_001,Aphrodite,LOVER,deity_ares_001,Ares,↔,Lover of,Aphrodite lover of Ares despite marriage to Hephaestus
deity_hermes_001,Hermes,CHILD,deity_pan_001,Pan,←,Father of,Hermes fathered Pan with Dryad
deity_persephone_001,Persephone,SPOUSE,deity_hades_001,Hades,↔,Married to,Persephone married to Hades but spends half year with mother
deity_kronos_001,Kronos,PARENT,deity_zeus_001,Zeus,→,Father of,Kronos fathered Zeus before being overthrown
deity_kronos_001,Kronos,PARENT,deity_hera_001,Hera,→,Father of,Kronos fathered Hera
deity_kronos_001,Kronos,PARENT,deity_poseidon_001,Poseidon,→,Father of,Kronos fathered Poseidon
deity_kronos_001,Kronos,PARENT,deity_demeter_001,Demeter,→,Father of,Kronos fathered Demeter
deity_kronos_001,Kronos,PARENT,deity_hestia_001,Hestia,→,Father of,Kronos fathered Hestia
deity_kronos_001,Kronos,PARENT,deity_hades_001,Hades,→,Father of,Kronos fathered Hades
deity_kronos_001,Kronos,ENEMY,deity_zeus_001,Zeus,←→,Enemy of,Kronos overthrown by son Zeus
deity_kronos_001,Kronos,SPOUSE,deity_rhea_001,Rhea,↔,Married to,Kronos married to Rhea Titaness
deity_rhea_001,Rhea,CHILD,deity_zeus_001,Zeus,←,Mother of,Rhea bore Zeus to Kronos
deity_rhea_001,Rhea,CHILD,deity_hera_001,Hera,←,Mother of,Rhea bore Hera to Kronos
deity_rhea_001,Rhea,CHILD,deity_poseidon_001,Poseidon,←,Mother of,Rhea bore Poseidon to Kronos
deity_rhea_001,Rhea,CHILD,deity_demeter_001,Demeter,←,Mother of,Rhea bore Demeter to Kronos
deity_rhea_001,Rhea,CHILD,deity_hestia_001,Hestia,←,Mother of,Rhea bore Hestia to Kronos
