id,name,type,aliases,description,domain,romanName,symbols,sacredAnimals,parentIds,childrenIds,sourceIds,notes
deity_zeus_001,Zeus,DEITY,"Jupiter, Dias, Zeu",King of gods and men, god of thunder and justice,Thunder|Sky|Justice|Law|Authority,Jupiter,Lightning bolt|Eagle|Oak tree,Eagle|Bull|Swan,deity_cronus_001|deity_rhea_001,"deity_athena_001|deity_apollo_001|deity_artemis_001|deity_ares_001|deity_hephaestus_001|deity_aphrodite_001|deity_hermes_001|deity_dionysus_001|deity_helen_001|deity_perseus_001|deity_heracles_001",src:theoi-zeus|src:homer-iliad|src:ovid-metamorphoses|src:hesiod-theogony,Youngest child of Cronus and Rhea. Ruler of Mount Olympus. Known for numerous affairs with goddesses and mortal women.
deity_hera_001,Hera,DEITY,"Juno, Here",Queen of gods and goddess of marriage and family,Marriage|Family|Motherhood|Women,Juno,Peacock|Pomegranate|Diadem,Peacock|Cow|Lion,deity_cronus_001|deity_rhea_001,"deity_ares_001|deity_hephaestus_001|deity_hebe_001|deity_eris_001",src:theoi-hera|src:homer-iliad|src:ovid-metamorphoses,Wife of Zeus. Protector of married women. Known for jealousy of Zeus's lovers. Queen of heaven.
deity_poseidon_001,Poseidon,DEITY,"Neptune, Ennosigaios",God of the sea earthquakes and horses,Sea|Earthquakes|Horses|Storms,Neptune,Trident|Horse|Dolphin,Horse|Bull|Dolphin,deity_cronus_001|deity_rhea_001,"deity_triton_001|deity_theseus_001|deity_polyphemus_001|deity_pegasus_001",src:theoi-poseidon|src:homer-iliad|src:ovid-metamorphoses|src:hesiod-theogony,Brother of Zeus. Known as the earth-shaker. Created the horse and caused earthquakes.
deity_demeter_001,Demeter,DEITY,"Ceres, Deo",Goddess of agriculture grain and harvest,Agriculture|Harvest|Grain|Nature|Fertility,Ceres,Wheat|Torch|Poppy,Serpent|Pig|Horse,deity_cronus_001|deity_rhea_001,deity_persephone_001,src:theoi-demeter|src:homer-hymn-to-demeter|src:ovid-metamorphoses,Sister of Zeus. Mother of Persephone. Caused the first winter when her daughter was abducted.
deity_athena_001,Athena,DEITY,"Minerva, Pallas",Goddess of wisdom warfare strategy and crafts,Wisdom|Warfare|Strategy|Crafts|Justice,Minerva,Olive tree|Owl|Spear|Shield,Owl|Snake|Dragon,deity_zeus_001,deity_erichthonius_001,src:theoi-athena|src:homer-iliad|src:ovid-metamorphoses|src:hesiod-theogony,Daughter of Zeus born from his head. Patron of Athens. Known for strategic warfare and wisdom.
deity_apollo_001,Apollo,DEITY,"Phoebus, Helios, Phoibos",God of the sun music prophecy and healing,Sun|Music|Prophecy|Healing|Light,Apollo,Lyre|Sun|Arrow|Laurel,Raven|Dolphin|Swan|Crow,deity_zeus_001|deity_leto_001,"deity_asclepius_001",src:theoi-apollo|src:homer-iliad|src:ovid-metamorphoses|src:hesiod-theogony,Son of Zeus and Leto. God of the sun with a golden chariot. Gave prophecies at Delphi.
deity_artemis_001,Artemis,DEITY,"Diana, Cynthia",Goddess of the hunt moon and virginity,Hunt|Moon|Wilderness|Virginity|Nature,Diana,Bow|Moon|Stag|Torch,Deer|Bear|Swan|Greyhound,deity_zeus_001|deity_leto_001,,src:theoi-artemis|src:homer-iliad|src:ovid-metamorphoses|src:hesiod-theogony,Daughter of Zeus and Leto. Twin sister of Apollo. Goddess of the hunt and protector of young women.
deity_ares_001,Ares,DEITY,"Mars, Enyalios",God of war violence and bloodlust,War|Violence|Bloodlust|Chaos|Weapons,Mars,Spear|Helmet|Boar|Dog|Vulture,Boar|Dog|Vulture|Snake,deity_zeus_001|deity_hera_001,"deity_fear_001|deity_panic_001",src:theoi-ares|src:homer-iliad|src:ovid-metamorphoses|src:hesiod-theogony,Son of Zeus and Hera. Represents brutal aspects of war contrasting with Athena's strategic warfare.
deity_hephaestus_001,Hephaestus,DEITY,"Vulcan, Hestia variant",God of fire metalworking and crafts,Fire|Metalworking|Crafts|Blacksmithing|Forge,Vulcan,Hammer|Anvil|Fire|Tongs,Donkey|Crane,deity_zeus_001|deity_hera_001|deity_aphrodite_001,,src:theoi-hephaestus|src:homer-iliad|src:ovid-metamorphoses|src:hesiod-theogony,Son of Zeus and Hera (or Hera alone). Blacksmith of the gods. Threw out of Olympus; settled in Lemnos.
deity_aphrodite_001,Aphrodite,DEITY,"Venus, Cypris, Anadyomene",Goddess of love beauty and sexuality,Love|Beauty|Sexuality|Pleasure|Desire,Venus,Rose|Dove|Mirror|Myrtle,Dove|Swan|Sparrow|Pigeon,deity_zeus_001|deity_dione_001,"deity_eros_001|deity_aeneas_001|deity_harmonia_001",src:theoi-aphrodite|src:homer-iliad|src:ovid-metamorphoses|src:hesiod-theogony,Goddess of love and beauty. Born from sea foam. Married to Hephaestus but lover of Ares.
