id,name,slug,type,aliases,description,sourceIds,parentageIds,childrenIds
entity_zeus_001,Zeus,zeus,DEITY,"Jupiter|Dias|Father of Gods|Cloud-gatherer","King of the gods, ruler of thunder and sky. Supreme deity of Olympus who wields thunderbolts and maintains order among gods and mortals.","src:homer-iliad|src:hesiod-theogony","entity_kronos_001|entity_rhea_001","entity_athena_001|entity_apollo_001|entity_artemis_001|entity_ares_001|entity_hephaestus_001|entity_hermes_001|entity_heracles_001|entity_dionysus_001"
entity_hera_001,Hera,hera,DEITY,"Juno|Queen of Heaven|Golden-throned","Queen of the gods and goddess of marriage, family, and women. Protector of women in childbirth and marriage bonds.","src:homer-iliad|src:hesiod-theogony","entity_kronos_001|entity_rhea_001","entity_ares_001|entity_hephaestus_001|entity_hebe_001"
entity_poseidon_001,Poseidon,poseidon,DEITY,"Neptune|Earth-shaker|God of the Sea","God of the sea, earthquakes, and horses. Brother of Zeus, controls the waters and wields a trident.","src:homer-iliad|src:homer-odyssey","entity_kronos_001|entity_rhea_001","entity_triton_001|entity_polyphemus_001"
entity_hades_001,Hades,hades,DEITY,"Pluto|Dis|Lord of the Dead|Aidoneus","God of the underworld and the dead. Brother of Zeus and Poseidon, rules over souls and the realm below.","src:hesiod-theogony|src:homer-odyssey","entity_kronos_001|entity_rhea_001",""
entity_athena_001,Athena,athena,DEITY,"Minerva|Pallas|Goddess of Wisdom","Goddess of wisdom, warfare, and crafts. Daughter of Zeus, born from his head fully armed. Patron of Athens.","src:homer-iliad|src:hesiod-theogony","entity_zeus_001",""
entity_apollo_001,Apollo,apollo,DEITY,"Phoebus|Sun God|God of Light|Far-shooter","God of sun, music, prophecy, and healing. Son of Zeus, archer of divine arrows, and giver of prophecy through oracles.","src:homer-iliad|src:hesiod-theogony","entity_zeus_001|entity_leto_001",""
entity_artemis_001,Artemis,artemis,DEITY,"Diana|Huntress|Moon Goddess","Goddess of the hunt, wilderness, and the moon. Twin sister of Apollo, known for her virginity and devotion to chastity.","src:homer-iliad|src:hesiod-theogony","entity_zeus_001|entity_leto_001",""
entity_ares_001,Ares,ares,DEITY,"Mars|God of War|Blood-stained","God of war, violence, and bloodlust. Son of Zeus and Hera, represents the brutal aspects of warfare.","src:homer-iliad|src:hesiod-theogony","entity_zeus_001|entity_hera_001",""
entity_aphrodite_001,Aphrodite,aphrodite,DEITY,"Venus|Goddess of Love|Foam-born","Goddess of love, beauty, and desire. Born from sea foam, she has power over all matters of love and attraction.","src:homer-iliad|src:hesiod-theogony","entity_zeus_001","entity_eros_001|entity_aeneas_001"
entity_hermes_001,Hermes,hermes,DEITY,"Mercury|Messenger God|Thief|Winged-footed","Messenger of the gods and god of thieves, commerce, and travelers. Son of Zeus, known for his cunning and swiftness.","src:homer-iliad|src:hesiod-theogony","entity_zeus_001|entity_maia_001",""
entity_demeter_001,Demeter,demeter,DEITY,"Ceres|Grain Goddess|Mother","Goddess of agriculture, grain, and the harvest. Sister of Zeus, mother of Persephone, connected to cycles of growth and death.","src:homer-iliad|src:hesiod-theogony","entity_kronos_001|entity_rhea_001","entity_persephone_001"
entity_hestia_001,Hestia,hestia,DEITY,"Vesta|Hearth Goddess","Goddess of the hearth, home, and family. Eldest Olympian, quiet and serene, worshipped in every household.","src:hesiod-theogony","entity_kronos_001|entity_rhea_001",""
entity_hephaestus_001,Hephaestus,hephaestus,DEITY,"Vulcan|Smith God|Fire God|Limping god","God of blacksmiths, fire, and craftsmanship. Lame from birth, he creates divine weapons and tools in his forge.","src:homer-iliad|src:hesiod-theogony","entity_zeus_001|entity_hera_001",""
entity_dionysus_001,Dionysus,dionysus,DEITY,"Bacchus|God of Wine|Theater God","God of wine, theater, ecstasy, and revelry. Twice-born, represents transformation and the wild aspects of nature.","src:homer-iliad|src:hesiod-theogony","entity_zeus_001",""
entity_kronos_001,Kronos,kronos,DEITY,"Cronus|Titan|Father of Zeus",Titan and father of Zeus. Ruled during the Golden Age before being overthrown by his son.,"src:hesiod-theogony","entity_ouranos_001|entity_gaia_001","entity_zeus_001|entity_hera_001|entity_poseidon_001|entity_hades_001|entity_demeter_001|entity_hestia_001"
entity_rhea_001,Rhea,rhea,DEITY,"Titan|Mother of Gods",Titaness and mother of the Olympian gods. Helped protect infant Zeus from Kronos.,"src:hesiod-theogony","entity_ouranos_001|entity_gaia_001","entity_zeus_001|entity_hera_001|entity_poseidon_001"
entity_persephone_001,Persephone,persephone,DEITY,"Proserpine|Queen of Underworld","Daughter of Demeter, abducted by Hades and became queen of the underworld. Represents spring's return and winter's darkness.","src:homer-odyssey|src:apollodorus-library","entity_demeter_001|entity_zeus_001",""
entity_hecate_001,Hecate,hecate,DEITY,"Hekataion|Goddess of Crossroads","Goddess of magic, crossroads, and boundaries. Associated with witchcraft and nocturnal wanderings.","src:hesiod-theogony","",""
