id,category,question,option1,option2,option3,option4,answer,explanation
d001,통계소프트웨어,S-LINK에 대한 설명으로 옳은 것은?,SAS GUI 통계패키지,SPSS 대용량 처리,국산 통계소프트웨어,Excel 객체지향언어,3,S-LINK는 국내 개발 통계 소프트웨어이다
d002,통계소프트웨어,R에 대한 설명으로 옳은 개수는?,1개,2개,3개,4개,3,R은 무료이고 대화형 언어이며 객체지향 시스템이다
d003,통계소프트웨어,SPSS와 SAS 설명으로 옳은 것은?,SPSS GUI와 SAS 대용량처리,SAS만 옳음,Excel 객체지향,모두 틀림,1,SPSS는 GUI 기반이고 SAS는 대용량 자료처리에 강하다
d004,측정수준,질적 데이터 측정 척도는?,명목척도와순서척도,명목척도와구간척도,순서척도와구간척도,구간척도와비율척도,1,질적 데이터는 명목척도와 순서척도로 측정된다
d005,측정수준,양적 데이터 측정 척도는?,명목척도와순서척도,명목척도와구간척도,순서척도와구간척도,구간척도와비율척도,4,양적 데이터는 구간척도와 비율척도로 측정된다
d006,측정수준,명목척도 설명으로 옳은 것은?,숫자는 구분 기호이다,간격이 일정하다,절대영점이 있다,순위 차이가 중요하다,1,명목척도 숫자는 분류를 위한 기호이다
d007,측정수준,구간척도에서 0의 의미는?,절대적 의미가 있다,자의적이라 절대적 의미가 없다,항상 비율 계산 가능,측정 불가능,2,구간척도의 0은 절대영점이 아니다
d008,측정수준,비율척도의 특징은?,순서만 있다,절대영점이 있다,구분만 한다,0이 자의적이다,2,비율척도는 절대영점이 있어 비율 계산이 가능하다
d009,측정수준,만족도 자료의 측정수준은?,명목척도,순서척도,구간척도,비율척도,2,만족도는 순서가 있으므로 순서척도이다
d010,측정수준,월급여액의 측정수준은?,명목척도,순서척도,구간척도,비율척도,4,월급여액은 절대영점이 있는 수치자료이다
d011,데이터구조,100명에 대해 7개 변수를 조사한 자료의 구조는?,7개 변수와 100개 케이스,100개 변수와 7개 케이스,7개 범주와 100개 변수,100개 척도와 7개 케이스,1,조사 항목은 변수이고 조사 대상은 케이스이다
d012,데이터분석,일반적인 데이터분석 절차의 시작은?,문제의 정의,데이터 수집,데이터 정리,결과 평가,1,분석은 문제의 정의에서 시작한다
d013,데이터분석,데이터 수집 다음 단계로 적절한 것은?,결과 발표,데이터 정리와 분석,문제 재정의,설문지 폐기,2,수집된 데이터는 정리하고 분석한다
d014,데이터처리,응답 결과에 숫자를 부여하는 과정은?,데이터 수집,부호화,데이터 정선,데이터 디버깅,2,통계분석을 위해 응답을 숫자로 바꾸는 과정은 부호화이다
d015,데이터처리,개방형 질문 응답을 분석하기 좋은 방법은?,재설문한다,분류 후 숫자를 부여한다,무시한다,평균만 계산한다,2,응답을 범주화하고 코딩한다
d016,데이터정제,데이터 입력 오류 점검 방법이 아닌 것은?,입력범위 확인,논리적 연관성 확인,설문지 대조,크론바흐 알파 확인,4,크론바흐 알파는 신뢰도 검증 지표이다
d017,기술통계,자료 1 7 3 3 6 4의 평균은?,3,3.5,4,4.8,3,합계 24를 6으로 나누면 4이다
d018,기술통계,자료 1 7 3 3 6 4의 중앙값은?,3,3.5,4,4.8,2,정렬 후 가운데 두 값 3과 4의 평균이다
