id,name,slug,description,participantIds,sourceIds,eventIds,eraYear
myth_trojan-war_001,Trojan War,trojan-war,"The greatest war of ancient times fought between the Greek city-states and Troy over the beautiful Helen. Features heroic deeds, divine intervention, and ultimately the fall of Troy.",,"src:homer-iliad|src:homer-odyssey|src:apollodorus-library",,
myth_heracles-labors_001,Twelve Labors of Heracles,heracles-labors,"The greatest hero Heracles must perform twelve labors to atone for his crimes: slaying the Nemean Lion, killing the Lernaean Hydra, capturing the Golden Hind, and more. Each labor represents a triumph of strength and cunning.",,"src:apollodorus-library|src:ovid-metamorphoses",,
myth_odyssey_001,The Odyssey,odyssey,"Following Troy's fall, Odysseus faces Poseidon's anger and must journey through lands of monsters and gods. He encounters the Cyclops, the Sirens, Circe, and Calypso before finally reaching home.",,"src:homer-odyssey",,
myth_perseus-medusa_001,Perseus and Medusa,perseus-medusa,"Perseus receives divine aid—winged sandals, a magical shield, and an adamantine sickle—to quest against impossible odds. He slays Medusa using her own reflection, then uses her severed head as a powerful weapon.",,"src:apollodorus-library|src:ovid-metamorphoses",,
myth_jason-argonauts_001,Jason and the Argonauts,jason-argonauts,"The legendary quest for the Golden Fleece takes Jason and his crew across uncharted seas. They face many trials: the Clashing Rocks, fire-breathing bulls, and skeleton warriors. Jason wins the fleece with help from Medea.",,"src:apollodorus-library|src:ovid-metamorphoses",,
myth_theseus-minotaur_001,Theseus and the Minotaur,theseus-minotaur,"Athens pays a terrible tribute to King Minos of Crete: youths sacrificed to the Minotaur. Theseus enters the Labyrinth with help from the princess Ariadne, defeats the monster, and escapes using her magical thread.",,"src:apollodorus-library|src:ovid-metamorphoses",,
myth_prometheus-fire_001,Prometheus and the Gift of Fire,prometheus-fire,The Titan Prometheus pities mortal humans and steals divine fire to give them knowledge and civilization. Zeus punishes this defiance with immortal suffering—chained to a rock in the Caucasus Mountains.,,"src:hesiod-theogony|src:ovid-metamorphoses",,
myth_persephone-abduction_001,Persephone's Abduction,persephone-abduction,"While gathering flowers, Persephone is seized by Hades and taken to the underworld as his bride. Her mother Demeter's grief causes the earth to wither. A divine compromise brings seasonal change: Persephone returns to bring spring.",,"src:homer-odyssey|src:apollodorus-library",,
myth_creation_001,Creation Myth,creation,"From primordial Chaos emerge Gaia (Earth) and Ouranos (Sky). Their children, the Titans, follow. War erupts: Kronos defeats Ouranos. Eventually Zeus leads the Olympians against the Titans in the Titanomachy.",,"src:hesiod-theogony",,
myth_hephaestus-aphrodite_001,The Affair of Ares and Aphrodite,ares-aphrodite,"The beautiful Aphrodite takes the fierce Ares as her lover, betraying her husband Hephaestus. The craftsman god creates a net so fine it's invisible and catches the pair. All Olympus laughs at their exposure.",,"src:homer-odyssey",,
myth_titanomachie_001,Titanomachy - War of the Titans,titanomachy,The ancient war between generations of gods. Kronos and his Titans fight Zeus and his Olympians. The conflict shakes the heavens and earth. Victory grants Zeus and the Olympians eternal rule over gods and mortals.,,"src:hesiod-theogony",,
myth_pandora_001,Pandora's Box,pandora,"As revenge for Prometheus's theft of fire, Zeus orders the creation of Pandora, the first woman. Given a sealed box, she's tempted to open it. Evils escape into the world; only Hope remains trapped inside.",,"src:hesiod-theogony|src:ovid-metamorphoses",,
myth_heracles-nemea_001,Heracles and the Nemean Lion,heracles-nemea,"The first of twelve labors sends Heracles to face the Nemean Lion. Arrows bounce off its golden hide. Heracles uses intelligence and strength, strangling the beast and then using its claws to skin it.",,"src:apollodorus-library",,
myth_trojan-horse_001,The Trojan Horse,trojan-horse,"Troy's walls prove impregnable to direct assault after a decade of war. Odysseus conceives a strategy: build a massive wooden horse, hide soldiers inside, and leave it as an apparent gift. The Trojans' fatal mistake opens the city.",,"src:homer-odyssey|src:apollodorus-library",,
