id,category,question,option1,option2,option3,option4,answer,explanation
q1,데이터와 정보,다음 중 데이터(Data)에 해당하는 것은?,평균 점수는 80점이다,학생들의 성적 분석 결과,홍길동,이번 달 매출 증가율은 5%이다,3,데이터는 가공 전의 단순한 사실이나 값이다.
q2,데이터와 정보,다음 중 정보(Information)에 해당하는 것은?,180,25,평균 키는 172cm이다,A101,3,정보는 데이터를 처리하여 의미를 갖게 된 결과이다.
q3,데이터와 정보,데이터 처리 과정의 일반적인 순서로 옳은 것은?,정보-자료-처리,자료-처리-정보,처리-자료-정보,정보-처리-자료,2,자료를 처리하면 의미 있는 정보가 된다.
q4,정보시스템,거래처리시스템을 의미하는 약어는?,MIS,DSS,TPS,ESS,3,TPS는 Transaction Processing System의 약어이다.
q5,정보시스템,경영정보시스템을 의미하는 약어는?,MIS,DSS,TPS,ERP,1,MIS는 Management Information System의 약어이다.
q6,정보시스템,의사결정지원시스템을 의미하는 약어는?,DSS,TPS,ESS,CRM,1,DSS는 Decision Support System의 약어이다.
q7,정보시스템,임원정보시스템을 의미하는 약어는?,TPS,MIS,DSS,ESS,4,ESS는 Executive Support System의 약어이다.
q8,정보시스템,은행 입출금 처리와 가장 관련 깊은 시스템은?,DSS,TPS,ESS,KMS,2,은행 입출금처럼 반복적인 거래를 처리하는 시스템은 TPS이다.
q9,데이터베이스,데이터베이스의 정의로 가장 적절한 것은?,중복을 위해 흩어 저장한 파일,여러 사용자가 공유할 수 있도록 통합 저장한 데이터의 집합,그림 파일만 저장하는 공간,프로그램 명령어 모음,2,데이터베이스는 통합 저장된 공유 데이터의 집합이다.
q10,데이터베이스,DBMS의 역할로 옳은 것은?,데이터베이스 관리,문서 편집,이미지 압축,운영체제 설치,1,DBMS는 데이터베이스를 생성하고 관리하는 소프트웨어이다.
q11,데이터베이스,관계형 데이터베이스에서 행(row)을 의미하는 것은?,속성,도메인,튜플,스키마,3,릴레이션에서 행은 튜플이라고 한다.
q12,데이터베이스,관계형 데이터베이스에서 열(column)을 의미하는 것은?,튜플,속성,레코드,인스턴스,2,릴레이션에서 열은 속성이라고 한다.
q13,데이터베이스,기본키의 특징으로 옳은 것은?,중복 허용 NULL 허용,중복 불가 NULL 허용,중복 허용 NULL 불가,중복 불가 NULL 불가,4,기본키는 중복될 수 없고 NULL도 허용하지 않는다.
q14,데이터베이스,외래키에 대한 설명으로 옳은 것은?,항상 숫자만 가능하다,다른 테이블의 기본키를 참조한다,NULL만 저장한다,테이블 이름을 의미한다,2,외래키는 다른 릴레이션의 기본키를 참조하는 속성이다.
q15,데이터베이스,개체 무결성과 가장 관련 깊은 것은?,기본키는 NULL일 수 없다,외래키는 반드시 문자열이다,데이터는 반드시 정렬되어야 한다,속성 이름은 중복 가능하다,1,개체 무결성은 기본키가 NULL이 될 수 없다는 제약이다.
q16,데이터베이스,참조 무결성과 가장 관련 깊은 것은?,기본키의 중복 허용,외래키가 참조하는 값의 존재,속성 순서 고정,튜플 순서 고정,2,참조 무결성은 외래키가 참조하는 값이 존재해야 함을 뜻한다.
q17,데이터베이스,릴레이션의 특성으로 옳지 않은 것은?,튜플의 순서는 의미가 없다,속성의 순서는 의미가 없다,같은 튜플이 중복될 수 있다,각 속성 값은 원자값이다,3,관계형 모델에서는 동일한 튜플의 중복을 허용하지 않는다.
q18,데이터베이스,스키마에 대한 설명으로 옳은 것은?,데이터베이스의 구조와 제약조건,실제 저장된 데이터 값,검색 결과 화면,데이터 삭제 명령,1,스키마는 데이터베이스의 논리적 구조와 제약조건을 의미한다.
q19,데이터베이스,SQL에서 데이터를 조회하는 명령어는?,INSERT,UPDATE,SELECT,DELETE,3,SELECT는 데이터 검색에 사용된다.
q20,데이터베이스,SQL에서 새로운 레코드를 삽입하는 명령어는?,INSERT,SELECT,DROP,ALTER,1,INSERT는 데이터를 삽입하는 명령이다.
q21,데이터베이스,SQL에서 데이터를 수정하는 명령어는?,SELECT,UPDATE,CREATE,COMMIT,2,UPDATE는 기존 데이터를 수정한다.
