id,category,question,option1,option2,option3,option4,answer,explanation
m001,측정수준,질적 데이터 측정 척도는?,명목척도와순서척도,명목척도와구간척도,순서척도와구간척도,구간척도와비율척도,1,질적 데이터는 숫자의 크기보다 범주나 순서를 나타내는 데이터이다. 명목척도는 성별이나 지역처럼 순서가 없는 분류이고 순서척도는 만족도나 등급처럼 순서가 있는 분류이다. 그래서 질적 데이터는 명목척도와 순서척도로 측정된다
m002,측정수준,양적 데이터 측정 척도는?,명목척도와순서척도,명목척도와구간척도,순서척도와구간척도,구간척도와비율척도,4,양적 데이터는 실제 수치의 크기와 차이를 해석할 수 있는 데이터이다. 구간척도는 온도처럼 간격은 의미 있지만 절대적인 0은 없고 비율척도는 키나 몸무게처럼 절대적인 0이 있어 비율 계산이 가능하다. 따라서 양적 데이터는 구간척도와 비율척도이다
m003,데이터분석,데이터 분석 첫 단계는?,문제정의,데이터수집,데이터정리,결과평가,1,데이터 분석은 아무 데이터나 모으는 것에서 시작하지 않는다. 먼저 무엇을 알고 싶은지와 어떤 의사결정을 하려는지 문제를 정의해야 한다. 그래야 조사 계획과 데이터 수집 방법도 정해질 수 있다
m004,데이터처리,응답에 숫자를 부여하는 과정은?,데이터수집,부호화,정선,디버깅,2,설문 응답이나 관측 결과를 통계 프로그램에서 분석하려면 숫자 형태로 바꾸는 과정이 필요하다. 예를 들어 남자는 1 여자는 2처럼 규칙을 정해 숫자를 붙이는 것이 부호화이다. 데이터 수집은 자료를 모으는 단계이고 정선은 오류나 불필요한 값을 정리하는 단계이다
m005,명목척도,명목척도 예시는?,성별,만족도,등수,학점,1,명목척도는 범주를 구분하기 위한 척도이다. 성별이나 혈액형처럼 항목 사이에 높고 낮음의 순서가 없다. 숫자를 붙이더라도 계산을 위한 수가 아니라 단순한 이름표 역할을 한다
m006,순서척도,순서척도 예시는?,혈액형,만족도,키,몸무게,2,순서척도는 범주 사이에 순서가 있는 척도이다. 만족도는 아주 불만족에서 아주 만족까지 순서가 있지만 각 단계 사이의 간격이 정확히 같다고 보기는 어렵다. 그래서 평균 같은 계산보다는 순위나 빈도 해석이 더 자연스럽다
m007,기술통계,상자그림 상자의 길이는?,범위,IQR,분산,평균,2,상자그림에서 상자는 제1사분위수 Q1부터 제3사분위수 Q3까지의 구간을 나타낸다. 이 길이가 바로 사분위수범위 IQR이다. 전체 범위와 달리 중앙 50퍼센트만 보기 때문에 극단값의 영향을 덜 받는다
m008,기술통계,50백분위수는?,평균,최빈값,중앙값,범위,3,백분위수는 자료를 작은 값부터 큰 값까지 정렬했을 때 특정 비율 위치에 있는 값이다. 50백분위수는 자료의 가운데 위치이므로 중앙값과 같다. 평균은 모든 값을 더해 개수로 나눈 값이라 중앙값과 다를 수 있다
m009,변이계수,변이계수 계산은?,분산/평균,표준편차/평균,평균/표준편차,범위/평균,2,변이계수는 표준편차를 평균으로 나눈 상대적 산포 측도이다. 단위나 평균 크기가 다른 두 집단의 퍼짐 정도를 비교할 때 유용하다. 보통 백분율로 나타내기 위해 표준편차 나누기 평균에 100을 곱한다
m010,그래프,연속형 자료 분포에 적합한 그래프는?,원그래프,히스토그램,방사형,막대그래프,2,히스토그램은 연속형 자료를 여러 구간으로 나누고 각 구간에 속한 자료의 빈도를 막대로 나타낸다. 키 몸무게 점수처럼 값의 분포 모양을 볼 때 적합하다. 원그래프와 막대그래프는 주로 범주형 자료의 비율이나 빈도 비교에 사용된다
