id,name,slug,description,timestamp,mythIds,participantIds,sourceIds
event_gaia-ouranos_001,Birth of Titans from Gaia and Ouranos,birth-of-titans,"Gaia and Ouranos give birth to the Titans, giant beings who will rule the cosmos. Among them are Kronos and Rhea.",0,"myth_creation_001","entity_gaia_001|entity_ouranos_001|entity_kronos_001","src:hesiod-theogony"
event_kronos-castrates-ouranos_001,Kronos Castrates Ouranos,kronos-castrates-ouranos,"Kronos attacks his father Ouranos with a sickle, castrates him, and takes control of the cosmos. This marks the end of Ouranos's rule.",1,"myth_creation_001","entity_kronos_001|entity_ouranos_001|entity_rhea_001","src:hesiod-theogony"
event_zeus-birth_001,Birth of Zeus,birth-of-zeus,"Rhea secretly bears Zeus in Crete while Kronos swallows a stone, believing it to be his newborn son. Zeus is hidden and raised by nymphs in secret.",2,"myth_creation_001","entity_zeus_001|entity_kronos_001|entity_rhea_001","src:hesiod-theogony"
event_titanomachy-begins_001,Titanomachy Begins,titanomachy-begins,"Zeus reaches manhood and challenges his father Kronos. The war between Titans and Olympians erupts, shaking the cosmos with divine fury.",3,"myth_titanomachie_001","entity_zeus_001|entity_kronos_001|entity_poseidon_001|entity_hades_001","src:hesiod-theogony"
event_titanomachy-ends_001,Titanomachy Concludes,titanomachy-ends,"After a decade-long war, Zeus and the Olympians defeat the Titans. Kronos and the defeated Titans are imprisoned in Tartarus.",13,"myth_titanomachie_001","entity_zeus_001|entity_kronos_001|entity_tartarus_001","src:hesiod-theogony"
event_prometheus-steals-fire_001,Prometheus Steals Fire from Olympus,prometheus-steals-fire,"The Titan Prometheus defies Zeus by stealing divine fire from Olympus and giving it to humanity, enabling civilization and technology.",15,"myth_prometheus-fire_001","entity_prometheus_001|entity_zeus_001","src:hesiod-theogony"
event_prometheus-punished_001,Prometheus Chained to the Caucasus,prometheus-punished,"Zeus orders Prometheus chained to a rock in the Caucasus Mountains. An eagle eats his immortal liver daily; the liver regenerates each night, ensuring eternal suffering.",16,"myth_prometheus-fire_001","entity_prometheus_001|entity_zeus_001","src:hesiod-theogony"
event_pandora-created_001,Creation of Pandora,pandora-created,"Zeus orders the creation of Pandora, the first woman, as punishment for Prometheus's theft. Hephaestus crafts her, and she is given a sealed box.",17,"myth_pandora_001","entity_prometheus_001|entity_zeus_001|entity_hephaestus_001","src:hesiod-theogony"
event_pandora-opens-box_001,Pandora Opens the Box,pandora-opens-box,"Curiosity overwhelms Pandora and she opens the forbidden box. Evils and miseries escape into the world, bringing suffering to humanity forever.",18,"myth_pandora_001","entity_prometheus_001","src:hesiod-theogony"
event_persephone-abducted_001,Hades Abducts Persephone,persephone-abducted,"While gathering flowers, the maiden Persephone is seized by Hades and taken to the underworld to be his bride. Demeter begins her desperate search.",100,"myth_persephone-abduction_001","entity_persephone_001|entity_hades_001|entity_demeter_001","src:homer-odyssey"
event_demeter-grieves_001,Demeter's Grief Freezes the World,demeter-grieves,"Grief-stricken Demeter causes eternal winter. Crops fail, and humanity faces starvation. The earth becomes barren as the goddess mourns her lost daughter.",101,"myth_persephone-abduction_001","entity_demeter_001|entity_zeus_001","src:homer-odyssey"
event_persephone-compromise_001,Divine Compromise: Persephone's Seasonal Return,persephone-compromise,Zeus negotiates a compromise. Persephone spends half the year with Hades in the underworld and half with Demeter above. This cycle creates seasons.,102,"myth_persephone-abduction_001","entity_persephone_001|entity_demeter_001|entity_hades_001|entity_zeus_001","src:homer-odyssey"
event_danae-imprisoned_001,Danaë Imprisoned in Bronze Tower,danae-imprisoned,"King Acrisius imprisons his daughter Danaë in a bronze tower to prevent her from bearing a son who might kill him. However, Zeus reaches her as golden rain.",200,"myth_perseus-medusa_001","entity_danae_001|entity_zeus_001","src:apollodorus-library"
event_perseus-born_001,Birth of Perseus,perseus-born,"Danaë gives birth to Perseus, son of Zeus. She and her infant are cast into the sea in a wooden chest but survive and wash ashore on an island.",201,"myth_perseus-medusa_001","entity_perseus_001|entity_danae_001|entity_zeus_001","src:apollodorus-library"
event_perseus-receives-gifts_001,Perseus Receives Divine Gifts,perseus-receives-gifts,The gods grant Perseus divine artifacts: Hermes gives winged sandals and an adamantine sickle; Athena provides a magical shield that reflects any gaze.,215,"myth_perseus-medusa_001","entity_perseus_001|entity_hermes_001|entity_athena_001","src:apollodorus-library"
